carat,cut,color,clarity,depth,table,price,x,y,z,v
23,4,3,1,615,55,326,395,398,243,38202030
21,3,3,2,598,61,326,389,384,231,34505856
28,3,1,3,624,58,334,420,423,263,46724580
31,1,0,1,633,58,335,434,434,275,51797900
24,2,0,5,628,57,336,394,396,248,38693952
24,2,1,6,623,57,336,395,398,247,38830870
26,2,5,2,619,55,337,407,411,252,42153804
23,2,5,4,594,61,338,400,405,239,38718000
30,1,0,2,640,55,339,425,428,273,49658700
23,4,0,4,628,56,340,393,390,246,37704420
22,3,4,2,604,61,342,388,384,233,34715136
31,4,0,1,622,54,344,434,437,271,51397318
20,3,3,1,602,62,345,379,375,227,32262375
32,3,3,0,609,58,345,438,442,268,51883728
30,4,1,1,620,54,348,430,434,268,50014160
30,1,0,2,634,54,351,423,429,270,48996090
30,1,0,2,638,56,351,423,426,271,48833658
30,2,0,2,627,59,351,421,426,266,47706036
30,1,1,1,633,56,351,426,430,271,49641780
23,2,3,3,638,55,352,385,392,248,37428160
23,2,5,4,610,57,353,394,396,241,37601784
31,2,0,2,594,62,353,438,443,262,50836908
23,2,2,5,604,58,354,397,401,241,38366477
24,3,1,4,625,57,355,397,394,247,38635246
30,2,0,3,622,57,357,428,430,267,49138680
23,2,6,3,605,61,357,396,397,240,37730880
23,2,4,4,609,57,357,396,399,242,38236968
23,2,4,4,600,57,402,400,403,241,38849200
23,2,4,4,598,57,402,404,405,242,39596040
23,2,3,4,607,59,402,397,401,242,38525674
23,2,3,4,595,58,402,401,405,240,38977200
23,2,6,4,619,58,402,392,396,244,37876608
23,1,3,4,641,59,402,383,385,246,36273930
31,1,5,2,640,54,402,429,430,275,50729250
26,2,6,3,608,59,403,413,416,252,43295616
33,4,1,1,618,55,403,449,451,278,56294722
33,4,1,1,612,56,403,449,450,275,55563750
33,4,0,2,611,56,403,449,455,276,56385420
32,1,5,1,631,56,403,434,437,275,52155950
28,3,4,2,624,58,403,424,426,265,47865360
32,2,5,1,618,55,403,434,442,271,51985388
32,1,5,1,638,56,403,436,438,279,53280072
25,2,3,3,633,60,404,400,403,254,40944800
28,2,5,1,607,60,404,433,437,264,49954344
24,2,4,2,609,61,404,401,403,245,39592735
23,4,2,4,619,54,404,393,395,244,37877340
32,4,1,2,609,55,404,445,448,272,54225920
22,3,3,3,616,58,404,393,389,241,36843357
22,3,6,3,593,62,404,391,388,231,35044548
30,4,1,1,610,59,405,430,433,263,48967970
30,3,0,1,593,61,405,443,438,261,50642874
30,2,1,2,626,57,405,425,428,267,48567300
30,2,1,2,630,57,405,428,432,271,50106816
30,1,1,2,632,55,405,425,429,270,49227750
35,4,1,4,609,57,552,454,459,278,57931308
30,3,6,2,626,59,552,423,426,266,47932668
30,4,6,2,625,57,552,429,432,269,49853232
30,4,6,2,621,56,552,430,433,268,49898920
42,3,1,1,615,59,552,478,484,296,68480192
28,4,2,5,614,56,553,419,422,258,45619044
32,4,1,6,620,55,553,438,442,273,52851708
31,2,2,2,633,57,553,433,430,273,50829870
31,3,2,2,618,58,553,434,432,268,50246784
24,3,3,6,607,58,553,401,403,244,39431132
24,2,6,6,615,60,553,397,400,245,38906000
30,2,5,2,631,56,554,429,426,270,49343580
30,3,5,2,629,59,554,428,424,268,48634496
30,3,5,2,625,57,554,429,425,267,48680775
30,1,5,2,637,57,554,428,426,272,49593216
26,2,4,5,592,60,554,419,422,249,44027682
26,2,3,5,599,58,554,415,423,250,43886250
26,2,6,5,624,54,554,408,413,256,43137024
26,2,6,5,628,60,554,401,405,252,40926060
26,2,3,6,626,59,554,405,409,254,42073830
26,2,3,6,634,59,554,400,404,254,41046400
26,2,6,6,621,60,554,403,412,252,41841072
26,4,3,5,629,58,554,401,405,254,41250870
38,4,1,1,616,56,554,465,467,287,62323485
24,3,2,6,623,59,554,395,392,245,37935800
24,3,5,6,612,58,554,401,396,244,38746224
24,3,5,6,608,59,554,401,400,244,39137600
24,3,5,5,607,58,554,407,404,246,40449288
32,3,1,2,629,58,554,434,433,273,51302706
70,4,3,2,625,57,2757,570,572,357,116396280
70,4,2,3,616,56,2757,570,567,350,113116500
71,2,3,3,624,57,2759,568,573,356,115865184
78,2,2,1,638,56,2759,581,585,372,126437220
70,1,4,4,594,62,2759,571,576,340,111824640
73,2,3,2,616,59,2760,577,578,356,118728136
80,3,5,2,615,58,2760,597,593,366,129571686
75,2,6,2,632,56,2760,580,575,365,121727500
75,3,3,2,599,54,2760,600,596,358,128020800
74,4,2,2,616,55,2760,580,585,359,121808700
75,3,2,3,617,58,2760,585,579,359,121598685
80,4,1,4,629,56,2760,594,587,372,129708216
75,4,2,2,622,55,2760,587,580,363,123586980
80,3,2,2,630,59,2760,590,581,369,126489510
74,4,1,5,623,55,2761,577,581,361,121020557
59,4,3,5,620,55,2761,538,543,335,97864890
80,4,4,1,614,57,2761,596,600,367,131239200
74,4,3,1,622,56,2761,580,584,362,122616640
90,3,1,3,630,58,2761,616,612,387,145895904
74,2,2,2,622,59,2762,573,582,359,119721474
73,4,4,3,626,56,2762,577,574,360,119231280
73,4,4,3,627,53,2762,580,575,362,120727000
80,3,4,1,617,58,2762,598,594,368,130718016
71,4,2,3,624,54,2762,572,576,358,117950976
70,4,3,3,607,58,2762,573,576,349,115186752
80,4,4,1,599,59,2762,601,607,362,132060134
71,4,6,1,623,56,2762,573,569,356,116069172
74,4,3,2,623,54,2762,580,583,362,122406680
70,2,4,3,617,63,2762,564,561,347,109792188
70,0,4,3,645,57,2762,557,553,358,110271518
70,3,4,3,616,60,2762,565,559,346,109278910
91,3,5,2,614,56,2763,609,597,370,134522010
61,2,6,5,596,57,2763,556,558,332,103002336
91,0,5,1,644,57,2763,611,609,393,146234907
77,4,5,3,620,56,2763,589,586,364,125636056
71,2,6,2,636,58,2764,564,568,360,115326720
71,4,6,2,619,59,2764,569,572,353,114890204
70,2,3,3,626,60,2765,562,565,353,112088090
77,2,5,4,613,60,2765,588,590,361,125238120
63,3,3,6,609,60,2765,552,555,337,103243320
71,2,4,4,601,62,2765,574,577,346,114594508
71,3,4,4,618,59,2765,569,573,353,115091061
76,4,5,2,612,57,2765,588,591,361,125450388
64,4,2,6,619,56,2766,553,556,343,105461524
71,3,2,3,609,57,2766,578,575,351,116654850
71,3,2,3,598,56,2766,589,581,350,119773150
70,2,6,3,618,55,2767,568,572,352,114363392
70,2,4,4,600,57,2767,580,587,350,119161000
71,4,6,1,616,55,2767,574,576,354,117040896
71,2,2,4,633,59,2768,552,561,352,109004544
73,2,6,2,602,56,2768,583,587,352,120461792
70,2,6,2,611,58,2768,566,573,348,112862664
70,4,3,2,609,57,2768,573,576,350,115516800
71,3,6,1,617,59,2768,571,567,351,113638707
74,4,1,2,613,56,2769,582,586,357,121755564
71,3,6,3,625,60,2770,565,561,352,111571680
73,3,2,3,614,59,2770,583,576,356,119547648
76,2,4,2,629,57,2770,579,581,365,122785635
76,4,6,1,624,57,2770,578,583,362,121984588
71,4,4,2,607,56,2770,577,580,351,117465660
73,3,2,3,607,58,2770,587,582,355,121280070
73,3,2,4,615,58,2770,579,575,355,118188375
73,4,6,1,599,57,2770,592,589,354,123435552
73,3,2,3,592,59,2770,592,587,349,121278896
72,2,5,5,603,56,2771,581,583,351,118891773
73,2,4,2,617,60,2771,579,582,358,120638124
71,4,2,3,619,57,2771,573,577,356,117701076
79,4,4,1,619,55,2771,597,592,368,130060032
73,2,5,6,604,59,2772,583,589,354,121558998
80,2,4,1,610,57,2772,601,603,367,133001901
57,4,2,6,615,55,2772,539,544,333,97640928
57,4,4,6,617,56,2772,533,537,330,94452930
