iter	Passed	Remaining
0	2	283
1	5	287
2	8	280
3	11	277
4	14	283
5	18	283
6	20	276
7	23	269
8	25	262
9	28	258
10	31	252
11	33	248
12	36	244
13	39	241
14	41	236
15	44	232
16	47	230
17	49	226
18	52	224
19	55	221
20	57	218
21	60	214
22	63	211
23	65	207
24	68	204
25	70	201
26	73	197
27	76	195
28	78	192
29	81	189
30	83	186
31	86	184
32	89	181
33	91	178
34	94	175
35	96	172
36	99	169
37	101	165
38	104	163
39	106	160
40	109	157
41	111	154
42	114	151
43	116	148
44	119	145
45	122	143
46	124	140
47	127	138
48	130	135
49	132	132
50	135	130
51	137	127
52	140	124
53	143	121
54	146	119
55	148	116
56	151	114
57	153	111
58	156	108
59	159	106
60	161	103
61	164	100
62	166	97
63	169	95
64	171	92
65	174	89
66	176	87
67	179	84
68	181	81
69	184	79
70	187	76
71	189	73
72	192	71
73	194	68
74	197	65
75	199	62
76	201	60
77	204	57
78	206	55
79	209	52
80	211	49
81	214	47
82	216	44
83	219	41
84	221	39
85	224	36
86	226	33
87	229	31
88	231	28
89	234	26
90	236	23
91	239	20
92	241	18
93	244	15
94	246	12
95	249	10
96	251	7
97	254	5
98	257	2
99	259	0
