x1,y1,size1,figure1,is_active1,color1,priority1,x2,y2,size2,figure2,is_active2,color2,priority2,collision
3,-6,77,circle,0,red,5,-3,6,29,circle,0,yellow,2,False
2,-2,59,rectangle,0,yellow,1,0,3,85,circle,0,red,4,True
2,5,41,rectangle,0,yellow,5,2,2,93,circle,0,green,5,True
4,2,74,circle,1,yellow,1,0,-1,94,rectangle,0,green,4,True
1,5,76,rectangle,0,red,2,-5,1,48,circle,1,yellow,2,False
2,-5,46,circle,0,blue,3,-3,4,61,circle,1,blue,5,False
5,4,82,circle,0,blue,5,5,-6,55,rectangle,0,blue,2,False
4,5,69,circle,0,yellow,5,2,-3,48,circle,1,yellow,3,True
2,3,51,rectangle,0,red,5,-2,-5,96,circle,1,yellow,3,False
2,6,55,rectangle,1,yellow,3,-3,2,29,rectangle,1,green,3,True
3,-3,72,rectangle,1,yellow,1,-2,-4,90,circle,0,yellow,5,True
4,1,46,circle,1,green,5,-4,2,70,rectangle,1,red,5,False
3,-5,91,circle,1,green,5,5,2,44,circle,0,blue,3,True
5,-2,45,rectangle,1,green,5,-5,-2,91,circle,0,yellow,5,False
1,2,66,circle,1,green,4,0,1,37,circle,0,green,1,True
-3,-2,75,rectangle,1,red,2,2,5,15,rectangle,1,yellow,3,False
-5,3,91,rectangle,0,blue,5,-4,-4,33,circle,1,red,5,False
-1,5,95,circle,1,yellow,4,0,6,88,circle,1,green,2,True
4,0,56,rectangle,0,yellow,1,3,6,100,rectangle,0,red,1,True
5,-3,29,rectangle,1,green,1,1,-6,55,rectangle,0,yellow,3,True
-4,4,30,circle,0,blue,5,-2,0,12,circle,1,green,3,False
3,-3,100,rectangle,1,red,5,-1,-3,33,rectangle,1,yellow,2,True
1,2,50,rectangle,0,yellow,2,-1,5,38,circle,0,yellow,5,True
1,-3,80,rectangle,1,yellow,4,5,-1,74,rectangle,0,yellow,5,True
-2,4,50,circle,0,blue,3,-3,4,53,circle,0,yellow,4,False
0,2,38,circle,1,green,2,-2,4,41,rectangle,0,yellow,1,True
1,0,74,circle,1,green,4,-3,-4,78,circle,0,blue,1,True
4,-5,98,circle,1,yellow,2,0,-3,87,rectangle,0,green,1,True
2,6,79,circle,0,yellow,1,-1,3,37,rectangle,1,red,5,True
-4,-3,86,circle,0,blue,3,3,3,95,circle,0,blue,1,True
-5,-1,73,rectangle,0,red,1,3,-3,76,circle,0,red,1,False
-5,-4,81,rectangle,0,red,1,-5,6,55,circle,0,red,2,False
-2,1,79,circle,1,blue,1,-4,0,82,rectangle,0,green,4,True
-5,5,98,circle,0,red,5,-4,-4,26,rectangle,0,blue,5,False
-5,-2,70,circle,1,yellow,2,-4,1,63,circle,0,blue,4,True
-2,-2,17,rectangle,0,red,2,-5,-4,99,circle,0,green,3,True
1,1,60,rectangle,1,yellow,3,2,2,38,rectangle,0,red,3,True
3,-3,51,rectangle,0,blue,3,4,-2,60,rectangle,1,red,2,True
-3,-6,16,rectangle,1,green,3,-5,-2,71,circle,0,yellow,5,False
0,2,16,circle,1,red,4,0,-6,65,circle,1,yellow,3,True
-4,6,14,rectangle,0,yellow,2,-3,0,54,rectangle,0,blue,5,False
3,-3,27,rectangle,1,red,3,1,-2,66,rectangle,0,yellow,1,True
-2,-1,57,circle,1,yellow,1,-2,6,68,rectangle,1,red,2,False
-3,5,67,circle,0,blue,1,0,-1,22,rectangle,0,red,4,False
3,-6,94,circle,1,green,2,-4,5,25,circle,0,yellow,5,False
5,-4,34,rectangle,1,blue,5,5,-4,23,circle,0,yellow,2,True
-2,2,78,circle,1,green,5,-5,2,70,rectangle,0,blue,1,True
5,-2,82,circle,1,blue,2,2,4,86,rectangle,0,yellow,1,False
4,-6,17,rectangle,1,blue,5,-5,-5,65,rectangle,1,blue,4,False
5,5,64,rectangle,0,red,5,-3,-3,91,circle,0,red,3,False
4,6,41,rectangle,1,blue,5,2,-5,50,rectangle,1,green,1,False
5,4,36,rectangle,1,green,3,1,4,43,rectangle,1,green,4,True
0,6,87,rectangle,0,green,1,4,-3,74,rectangle,0,blue,4,False
-1,6,79,rectangle,1,blue,4,-1,1,41,circle,0,red,1,True
-5,5,22,rectangle,1,red,5,-4,6,51,rectangle,0,yellow,4,True
2,4,69,circle,1,yellow,5,-2,-3,88,rectangle,0,green,1,False
-5,-1,26,rectangle,0,green,1,-2,5,92,rectangle,1,blue,3,True
1,-2,51,circle,1,blue,2,-5,2,60,circle,1,blue,2,True
-2,-2,71,circle,0,red,5,-1,-5,61,rectangle,0,red,1,True
-1,6,13,circle,1,yellow,1,0,3,80,circle,0,green,5,False
-4,3,52,rectangle,0,yellow,4,-3,-2,76,rectangle,1,red,4,True
4,3,25,circle,1,blue,1,2,-5,49,circle,0,green,3,False
-4,-2,18,circle,1,green,3,4,6,79,rectangle,1,blue,1,False
-3,-1,72,rectangle,1,red,4,-4,1,84,rectangle,0,blue,3,True
-4,2,26,rectangle,0,red,3,2,-5,60,rectangle,1,red,3,False
5,-4,49,circle,0,blue,4,2,-6,41,circle,1,green,5,False
-1,-5,90,circle,0,blue,3,4,1,51,circle,0,blue,3,True
0,-2,100,rectangle,1,yellow,2,3,5,43,rectangle,0,green,5,True
-5,2,96,circle,1,blue,3,3,0,74,circle,0,yellow,1,True
4,1,34,circle,0,red,4,3,1,53,circle,1,yellow,5,True
-1,6,35,rectangle,0,green,1,-3,-1,36,circle,1,yellow,5,False
2,6,90,rectangle,1,green,4,-4,3,86,rectangle,0,blue,1,True
-5,4,24,circle,1,red,5,0,1,41,circle,0,yellow,4,False
1,-6,48,rectangle,1,yellow,4,-5,2,74,circle,1,blue,3,False
1,1,21,circle,1,red,2,2,-3,85,circle,0,green,3,True
5,5,16,rectangle,0,yellow,1,0,5,56,circle,0,green,5,False
0,2,42,rectangle,0,blue,1,1,5,44,rectangle,0,yellow,1,True
5,-6,82,circle,1,green,3,3,6,17,circle,0,red,5,False
-3,-2,50,rectangle,0,blue,4,4,2,83,circle,0,red,1,False
-2,2,70,rectangle,1,green,3,5,-4,87,circle,1,green,1,False
-3,3,92,rectangle,1,yellow,1,1,-4,41,rectangle,1,yellow,3,True
5,2,83,rectangle,1,green,4,3,-1,77,circle,1,red,1,True
5,5,84,circle,1,red,5,-3,0,52,circle,1,blue,1,True
5,1,73,circle,0,yellow,3,0,6,33,circle,0,yellow,3,True
1,-2,74,circle,0,yellow,3,2,-5,16,rectangle,1,red,2,True
5,-3,41,rectangle,1,red,4,0,6,97,rectangle,1,red,5,False
3,0,17,circle,0,green,1,5,4,38,rectangle,1,red,1,False
0,-5,88,circle,1,blue,3,-2,2,24,rectangle,0,green,2,False
2,-2,14,rectangle,1,yellow,3,-1,5,51,circle,1,blue,2,False
3,4,83,rectangle,1,blue,1,-1,-5,11,rectangle,1,red,4,False
-1,5,77,rectangle,0,green,1,-5,4,38,rectangle,1,green,3,True
