x1,y1,size1,figure1,is_active1,color1,priority1,speed1,opacity1,rotation1,x2,y2,size2,figure2,is_active2,color2,priority2,speed2,opacity2,rotation2,collision
2,4,25,circle,0,blue,2,2.7560725581296763,0.08136078564191618,134,1,-4,20,rectangle,0,green,5,4.828842490831285,0.5565194098450094,283,False
3,3,57,circle,1,yellow,1,9.434689004453254,0.10624104885611918,355,-3,6,10,circle,1,red,2,7.493583430926963,0.7138206197594474,205,False
5,-5,24,circle,0,green,1,1.8934281110954654,0.08531563853163526,34,-5,-4,85,circle,1,yellow,5,5.177227793185501,0.9295660984986325,322,False
2,-4,28,circle,1,red,3,7.947001172364864,0.48567400817063877,328,2,2,77,rectangle,1,yellow,4,3.1585476102968846,0.937430374043518,353,False
-2,-1,46,circle,0,green,4,3.8733024337654287,0.12696583025386277,309,0,-1,91,rectangle,1,red,1,4.6893955314127584,0.2604403147106139,122,True
1,-3,28,circle,0,red,2,1.843802388987753,0.5500286878737042,91,1,-6,100,rectangle,1,red,2,1.2278823287534835,0.932684829608103,25,True
-5,4,28,circle,0,blue,5,4.888088796429741,0.4139400409463305,292,-4,-5,74,circle,1,blue,3,4.288642535233826,0.040146317912762575,116,False
5,2,34,rectangle,0,red,3,0.978771214683104,0.8680158589587951,254,1,4,75,circle,1,red,5,0.8288584608983196,0.6152075414758275,227,True
5,0,87,circle,1,green,5,7.7711379188007825,0.2679929638086148,335,-4,-1,34,circle,0,red,2,6.087163095832753,0.7504846894939539,233,True
4,3,79,rectangle,0,red,5,6.018251980127874,0.9039744577106844,307,-1,3,28,rectangle,1,blue,5,7.793619351664384,0.014894565484559252,315,True
-2,6,82,rectangle,1,red,1,3.966490971133293,0.5235534586559947,85,5,-5,62,circle,1,yellow,3,7.6422059663478645,0.30679467001757155,325,False
5,0,28,circle,0,blue,3,6.038764375614515,0.30568133013613497,144,2,0,39,circle,1,blue,3,1.1218828352021493,0.4773466173794272,297,True
-4,6,15,circle,1,blue,5,7.336683538489746,0.11706665518171255,248,-1,4,26,circle,1,green,5,9.597946409572291,0.1633176269951241,298,False
5,0,36,rectangle,1,red,3,9.558636747942513,0.04610620606763971,342,3,-5,12,circle,0,green,1,4.307618676941801,0.14918064138808018,102,False
1,-3,29,rectangle,1,red,1,1.3007077483920149,0.5941338968005605,251,-4,0,39,circle,1,red,1,4.314384108385082,0.6620663035253311,305,False
0,-1,66,circle,0,green,1,6.007683459246631,0.4523906991752126,132,-4,6,22,circle,0,green,3,3.656288542644983,0.7394014642785642,159,False
-4,5,28,rectangle,0,green,2,7.7871540515518936,0.7576808359953596,291,-5,5,58,rectangle,0,red,3,7.634499009206063,0.8918168911578878,237,True
4,-4,21,circle,0,blue,3,7.047645421082482,0.5695678949512976,286,-1,-2,59,rectangle,1,yellow,1,9.958604674622686,0.05686401561724119,26,False
2,-3,24,rectangle,1,yellow,1,4.07343429544131,0.7317068690270659,294,-3,0,36,circle,0,green,3,4.888072917507929,0.5026671913163695,103,False
-1,0,16,circle,0,yellow,1,9.525261435002589,0.44782606091415045,198,1,-2,63,rectangle,0,red,5,6.8943631642416,0.4670530707218761,82,True
0,-4,44,circle,1,yellow,3,1.708666044308803,0.7846122730023419,108,2,2,20,rectangle,1,blue,5,0.3016494251656654,0.3836717694856847,81,False
0,4,73,circle,0,red,3,9.52598776622666,0.1159470818282673,64,3,-4,78,circle,0,yellow,4,7.4477819341010605,0.7014555717691481,212,True
2,6,63,rectangle,0,yellow,2,4.800677614934408,0.7297808549861392,141,-4,5,66,circle,1,blue,3,7.843501308465459,0.6429680379709367,169,False
-3,4,71,circle,1,green,2,1.7691663540634517,0.6251408276805165,262,2,-5,47,circle,0,blue,1,8.327156527051775,0.9938593125892657,132,False
2,1,94,circle,0,red,3,6.225621886745514,0.35147018728932944,359,-1,-6,51,rectangle,0,green,1,5.404313436312977,0.31121205952628717,63,False
-2,-5,24,rectangle,0,yellow,2,8.896757710729473,0.7365378733277276,63,2,6,13,circle,0,red,5,1.5961665055252017,0.9222779738780168,350,False
-4,5,57,circle,1,yellow,4,8.514577242802355,0.1882628178261072,287,-3,0,66,rectangle,1,red,2,6.131895887686454,0.1117579112326259,186,True
2,0,41,circle,0,green,1,1.055125515759947,0.3200551481116063,11,3,-5,21,circle,1,green,2,1.7770117181160971,0.5178264280612822,340,False
-2,-6,37,circle,0,green,4,4.657134880009767,0.23227553587930483,59,-5,-5,79,rectangle,1,green,5,3.0456677503246055,0.0806346776693484,156,True
0,0,96,circle,1,red,4,8.310532281668566,0.15759776792473612,304,4,-1,55,rectangle,1,green,1,2.920142020884594,0.9199637575878472,168,True
4,6,86,rectangle,0,green,1,9.591818021653804,0.09294780065856367,58,-3,-4,58,rectangle,0,red,4,3.463863146030449,0.4436639211418796,16,False
-2,-4,39,circle,1,red,3,4.647216509837298,0.14706066397948991,177,-5,-2,92,rectangle,0,blue,4,7.082087135437546,0.5353267614138966,322,True
4,-3,50,circle,0,green,1,6.590485585238608,0.2580459307285071,90,1,0,95,circle,0,blue,2,9.901734401383614,0.7144868490530818,49,True
-3,4,97,circle,1,red,5,4.155751513355817,0.8464638963315586,256,-1,-3,25,circle,0,blue,1,2.4061563690491585,0.14976007146689274,313,True
1,-1,76,rectangle,0,yellow,3,3.4674346016267155,0.3879956781767374,197,1,-6,38,circle,1,yellow,3,6.80148916008738,0.649128576226628,268,True
4,-4,39,rectangle,0,blue,3,2.343564542104859,0.4218911096215431,96,2,1,12,rectangle,0,blue,4,7.206255670605146,0.8490780450006319,301,False
5,4,24,circle,0,red,5,3.370686440610915,0.4440703579565126,351,5,2,58,circle,1,blue,3,9.696488524738974,0.7537806496100538,110,True
-2,2,33,rectangle,1,green,1,3.7285627247936635,0.6973907489318423,29,4,3,21,rectangle,0,green,4,2.368690722207635,0.19947834585028512,95,False
4,-6,62,rectangle,1,blue,2,5.237342098007667,0.6354384831757679,147,4,5,22,rectangle,1,yellow,5,6.372089529890641,0.5695720822758036,198,False
-5,-4,47,rectangle,0,blue,1,9.042404945349805,0.48740381209322514,167,-5,-5,13,circle,0,yellow,5,6.986762700860542,0.6932156609963636,330,True
2,-2,35,rectangle,1,yellow,4,9.659592455175769,0.24207372640082125,226,0,2,95,circle,0,blue,2,0.4587940075397401,0.059119114029201114,239,True
3,-2,12,circle,1,green,5,6.965254452253797,0.556662442837779,23,-3,-2,85,rectangle,1,yellow,4,0.04368464123891247,0.848728616486052,137,False
1,-1,39,circle,0,green,3,2.6834031720468845,0.6961280500778332,49,5,4,57,rectangle,0,green,3,7.37417621720542,0.17207524033849853,353,False
-1,-1,31,rectangle,0,green,3,2.4277399984673287,0.6729447398404391,244,-1,5,60,rectangle,0,blue,2,3.797597160815478,0.9117660359388795,97,True
-1,2,85,rectangle,0,blue,4,4.569712093986586,0.9027058455158726,230,2,1,53,circle,1,green,2,1.220551172695673,0.18385704253271906,150,True
3,6,66,rectangle,1,yellow,2,8.917107874119065,0.04121906042135104,84,-5,5,53,rectangle,1,green,3,6.125056245135126,0.44967703986429397,199,False
1,-2,56,rectangle,0,green,3,2.0583005159267787,0.740739456950182,163,-5,5,48,circle,1,green,4,5.58528295608682,0.7419188066640952,74,False
1,1,46,rectangle,1,blue,4,6.232069325546002,0.27249769398607115,191,-4,-3,48,rectangle,1,green,1,6.41376335439412,0.7534552244493748,195,True
1,1,81,rectangle,1,yellow,5,0.3886875685517055,0.9372066533684272,311,1,0,19,circle,1,yellow,2,4.894049441055445,0.06183594649483626,43,True
2,1,83,rectangle,1,yellow,4,3.950797698820515,0.6590002014304934,332,1,4,27,circle,1,yellow,2,5.795860292390607,0.672586106926722,319,True
