x1,y1,size1,figure1,x2,y2,size2,figure2,collision
-1,1,19,rectangle,3,-3,84,circle,False
-4,-2,13,circle,5,4,47,rectangle,False
0,1,43,rectangle,3,6,83,rectangle,True
1,4,55,circle,-4,3,83,circle,True
4,-2,29,rectangle,1,0,63,circle,True
-4,2,62,circle,-4,-1,22,rectangle,True
3,4,62,rectangle,3,2,44,rectangle,True
4,0,23,circle,3,2,24,circle,True
0,-1,21,rectangle,-3,5,79,rectangle,True
-5,4,11,circle,1,1,56,circle,False
2,-5,77,rectangle,0,2,25,rectangle,False
1,6,75,circle,1,-4,87,circle,True
0,0,65,rectangle,-3,0,20,circle,True
5,1,35,rectangle,0,-4,38,circle,False
-5,5,65,rectangle,4,2,90,rectangle,False
0,6,88,rectangle,-2,-1,11,circle,False
2,0,67,rectangle,5,-3,30,rectangle,True
-2,-1,33,rectangle,-1,0,85,circle,True
-3,-4,76,circle,2,-5,96,circle,True
-2,6,27,circle,4,6,97,circle,True
5,-3,40,circle,5,-3,49,circle,False
3,-4,44,rectangle,-5,0,65,circle,False
-4,-1,91,circle,0,1,32,rectangle,True
4,-4,30,rectangle,5,3,52,rectangle,False
3,2,42,rectangle,1,2,84,rectangle,True
-4,-2,29,rectangle,-2,-4,48,circle,True
-5,-2,62,circle,-2,-5,76,rectangle,True
2,-4,57,rectangle,3,-5,49,circle,True
5,3,80,rectangle,4,1,24,circle,True
0,4,18,rectangle,5,6,56,circle,False
-5,2,81,circle,-5,-4,93,rectangle,True
3,2,75,circle,-2,-4,21,circle,True
4,-5,61,rectangle,1,3,73,rectangle,True
-3,5,84,circle,-5,-1,66,rectangle,False
-5,-5,71,circle,-4,-4,13,rectangle,True
-4,-6,58,rectangle,-2,3,23,circle,False
-2,6,67,rectangle,1,-5,49,rectangle,False
4,-3,99,rectangle,2,-3,58,circle,True
1,5,46,circle,3,0,87,circle,True
4,-4,26,rectangle,-4,5,50,circle,False
2,-4,54,circle,5,0,88,circle,True
-1,5,47,rectangle,-3,3,81,rectangle,True
-3,2,42,circle,-5,1,60,circle,True
1,1,36,rectangle,0,-6,44,circle,False
-5,-6,53,rectangle,1,2,62,circle,False
3,3,18,rectangle,-3,4,83,circle,False
2,-6,33,circle,-4,-3,55,circle,False
1,-6,23,rectangle,1,-1,33,circle,False
0,0,79,rectangle,5,5,72,rectangle,True
-1,1,38,circle,3,3,96,rectangle,True
-3,-5,99,circle,-1,-2,54,circle,True
2,-1,41,circle,-3,-2,54,circle,True
2,5,19,circle,0,-4,13,circle,False
-3,5,86,circle,2,-1,46,rectangle,False
0,-1,93,rectangle,3,1,56,circle,True
-4,0,25,rectangle,-1,-5,41,circle,False
-1,-1,74,rectangle,-1,6,95,rectangle,True
-5,6,40,rectangle,3,-1,80,rectangle,False
2,1,86,circle,5,-5,84,rectangle,False
3,-1,90,circle,-3,-1,44,circle,True
0,3,13,circle,4,4,35,circle,True
3,-4,11,circle,-1,-4,64,rectangle,True
-2,-5,37,rectangle,4,-4,30,rectangle,False
-4,4,63,circle,-4,0,44,rectangle,True
-2,2,15,rectangle,5,-4,83,circle,False
1,3,73,circle,-3,-5,64,circle,True
5,-5,62,circle,-3,1,27,rectangle,False
4,6,12,rectangle,3,3,49,circle,False
5,-2,96,circle,1,1,87,rectangle,True
-2,-1,28,circle,-2,-1,14,rectangle,True
3,4,84,rectangle,-2,-4,58,rectangle,True
4,6,44,rectangle,5,2,99,rectangle,True
-5,-4,42,circle,5,1,50,rectangle,False
4,-4,93,rectangle,5,1,53,circle,True
3,-4,19,circle,-4,-5,28,rectangle,False
-3,4,45,circle,2,-4,60,circle,False
-5,5,97,circle,1,0,66,circle,True
-5,3,68,rectangle,-1,6,21,rectangle,True
-2,4,28,rectangle,3,-3,99,rectangle,True
-1,6,77,circle,-2,-4,22,rectangle,False
1,6,51,circle,1,6,72,circle,True
5,-1,63,circle,-2,2,91,rectangle,False
4,-6,44,circle,-4,-2,59,circle,False
1,-3,21,rectangle,-5,6,67,rectangle,False
0,5,20,rectangle,0,3,33,circle,True
3,-5,66,circle,2,-1,17,circle,False
1,-3,23,rectangle,-3,4,21,rectangle,False
2,-5,96,circle,-2,5,42,rectangle,False
